,tweet,labels
187,love frat boy w soft long sole,Neither hate speech nor offensive language
188,sexi lad hot sole arch,Neither hate speech nor offensive language
189,megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel,Offensive language
190,meshanoja vontethekidd got hick lol,Neither hate speech nor offensive language
191,migsmichelen new twitter confus shit go back south america bitch,Offensive language
192,toto mean ass vaginai think pussi caus toto santi like nasti pussi,Offensive language
193,mikelahenri actual choos ugli bitch ass must fat,Offensive language
194,mileycyrus bitch couldnt kill vibe ya tri dis love miley ,Offensive language
195,montrel im tire bitch say look mean nigga big af wear tight shirt grim everybodi,Offensive language
196,motherjon bird grandkid may never see thank climat chang   climat,Neither hate speech nor offensive language
197,mvckfadden stay beauti bitch,Offensive language
198,nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl,Offensive language
199,nastycopp money get taller bitch get blurri,Offensive language
200,newsomejad aint never seen bitch obsess im obsess mine ,Offensive language
201,kobe stay talk trash let forget  meant one smh,Offensive language
202,nochillpaz least im nigger lmfao,Hate speech
203,nofakingg peopl alway ask im mix bad asian bitch lol,Offensive language
204,whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo,Hate speech
205,osayitaintso ignorealllaw foster home imaginari whoa chillthat show everyth tf,Neither hate speech nor offensive language
206,officialreplay lowkey tire tire quiet go sleep hoe,Offensive language
207,prayingforhead macklemro stop bring weird nigger mention ,Offensive language
208,prettybossbrat dont love hoe ,Offensive language
209,patrickquelo yo girl cant homeboy ol weak bitch ass nigga,Offensive language
210,think worst advic gave  dont pussi speed lol,Offensive language
211,poemsporn quot tweet favorit animalpussi,Offensive language
212,poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,Offensive language
213,poffalici andrewbry poff doubl vision beerspoff  doubl pussi smh,Offensive language
214,poobi bitch twerk computerm ya ya damn ,Offensive language
215,prodsjewel sreadthepeac yungmindless peacepunkprinc princ art  nobodi takin bitch,Offensive language
216,welfaregovern aid claim white peopl yall black slander trash,Neither hate speech nor offensive language
217,bitch dont care play role,Offensive language
218,queenkaaat took find hide lime treeiemonaid dis bitch da wrong tree bro,Offensive language
219,rtnba drake new shoe releas nikejordan yes there glitter shoe  dude fag,Hate speech
220,rachiesoul dizzleoffici inna di ghetto alon lmaoo,Neither hate speech nor offensive language
221,ramboutit tolif ramboutit hoe teach us austini teach u get curv that know,Neither hate speech nor offensive language
222,reachtheeclimax bitch cant cook know suck dick  one,Offensive language
223,renegademo fat hoe get chose lol,Offensive language
224,riahsm hoesaintloy well theyr hoesno one expect loyal,Offensive language
225,rishaawilliam treshonscroog nevertrustt ol bitch ass ,Offensive language
226,rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,Offensive language
227,sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,Offensive language
228,samjlayman  holi shit freddi highmor charli chocol factorym roll floor laugh,Offensive language
229,samirahus dont want sex gf feel like im use  anonym whata faggot,Offensive language
230,sexualgxf  one follow somebodi bitch dont,Offensive language
231,shaajenkin ya bitch alway bitch clear care annoy bitch,Offensive language
232,shantaughth catfish hoe thinkin slick nigga catch ,Offensive language
233,shewenttojordan cant worri bitch aint worri bout real,Offensive language
234,showarr side hoe insecur nigga cant handl real one,Offensive language
235,shunstok rt lmao bitch come scoot tent like fuck shit ,Offensive language
236,shunstok cousin said share hoe brother said share care love brother ,Offensive language
237,slimgirlprobz im hungri ionn wanna spend money broke hoe problem ,Offensive language
238,smeegbabi dese hoe lyin us nigga,Offensive language
239,snakecharmsdump  oh yeah fuck bitch,Offensive language
240,sportscent eli man threw nfllead th intercept season lmao trash,Neither hate speech nor offensive language
241,sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team hes bitch,Neither hate speech nor offensive language
242,stellatex guess also zero time mansplain adio stfu pussi,Offensive language
243,stephenwildboy chill sexi scalli lad,Neither hate speech nor offensive language
244,strap aint share bitch mine mine ,Offensive language
245,sukmysweet money impress simpl broke bitch,Offensive language
246,sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,Offensive language
247,teejonez stanley kingcuh tuku ho idk blah blah blah ,Neither hate speech nor offensive language
248,teejonez kingcuh stanley im mad cuh hahaha suur tuku ho ita ,Neither hate speech nor offensive language
249,tayknosbest hoe crazi,Offensive language
250,taylorrbabe aint ever gonna slice bitch kevin hart ,Offensive language
251,thatniggatroy oomf fuckin fine tho dam  dont bitch,Offensive language
252,thegamerkingkev wonder girl gave head boy drink magaluf twitter probli send nude fag,Offensive language
253,thenewsat newsatquestionsyeah bitch yeah bitch call maybeb steveoc laterd jess pinkmanmachinegunkelli,Offensive language
254,thenymphotweet hicki thigh right pussi gtgtgt right,Offensive language
255,theonemissluu would still love im longer young beauti ugli monkey ass,Offensive language
256,jetsandaswish gook yall come frontbitch aint come,Offensive language
257,jetsandaswish faggot bitch ,Offensive language
258,therealistsam yea im ipad dont work friday let ball faggot tropicalblanketi work ,Offensive language
259,scalli lad would get,Neither hate speech nor offensive language
260,theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger,Hate speech
261,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead ,Offensive language
262,kantkeepahbytch love eat pussi lol never get full eat shit forev lol ever,Offensive language
263,tmaccgfg voiceofdstreetz tmaccgfg tizzimari slush hoe nasti anyway hoe tast like ,Offensive language
264,tmaccgfg tizzimari slush hoe nasti anyway ,Offensive language
265,tmaccgfg bobbi bitchbi get live fuck hell yea play hoe workout,Offensive language
266,trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner ,Offensive language
267,tweetgamelazi ride bitch handl bar,Offensive language
268,tyjoncuffe aint hoe get traphoussseeee,Offensive language
269,uberfact sad tv charact death still bitter   stark man,Neither hate speech nor offensive language
270,unholyjack harbor bitch parti bus hoe lol,Offensive language
271,pussi love,Offensive language
272,veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo,Offensive language
273,vineforthebyrd way fuck bitch lmfao kittycopt,Offensive language
274,wbur smuggler explain help fighter along jihadi highway ,Neither hate speech nor offensive language
275,wbeezi quathegreat aww avi look cute togeth gotta get ike avi bitch ,Offensive language
276,wbeezi rundrc simpl dont hoedont worri expos fight mewhi ,Offensive language
277,wannabekany whys bitch boost size isnt exact healthi tho,Offensive language
278,withaprettyfac nonlykeisha bet bitch kim bye,Offensive language
279,xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,Offensive language
280,xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught,Offensive language
281,xoxoangie bruno fag boy love,Offensive language
282,yehitsvon rundrc must sike naw alway beef ,Offensive language
283,yanke yanke look ralli bottom th rallycap,Neither hate speech nor offensive language
284,youngricooo dont take advantag nice hoe everyjuan,Offensive language
285,youngricooo happi birthday bitch nigga thank pal,Offensive language
286,youngricooo sad know hoe wont fuck bc aint got stack wait till friday,Offensive language
287,yungmigo cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca,Offensive language
288,rheyd ewww said last sundaya last sunday read ,Offensive language
289,badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake,Offensive language
290,beedontcar pussi still fresh lt someth stank girl say,Offensive language
291,geewillik ass slap one greatest thing haha slap girl ass  got mad aint get pussi week,Offensive language
292,tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad,Offensive language
293,malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,Offensive language
294,sugga there lane bitch need stay left n get right fuck outta face ,Offensive language
295,sneakyb hate boy deni bitch smh,Offensive language
296,taradis ya nig still say yall dont eat butt straight face,Offensive language
297,yourewelcom im boss ass bitch need sit corner,Offensive language
298,iwantfranni hes hoe  cant,Offensive language
299,paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street,Offensive language
300,rapdream bitch hold nigga get lock nigga go colleg militari differ stori ,Offensive language
301,simplycaitlin friend hate ratchet hoe,Offensive language
302,adriwadrri love fuck nigga hoe,Offensive language
303,hot meat  sexi fuck scalli lad would love meet trainer,Offensive language
304,sniff  perv scalli lad fuck yeah,Offensive language
305,bitch love sosa,Offensive language
306,alexissixela whitethunduh legit watch second wtf prob caus retard smh,Offensive language
307,allisonnamaya name cat idea mr pussi,Offensive language
308,woof woof sexi thug boy scalli,Offensive language
309,ambitiousbre nonlykeisha u see damn phone ring marri bitch make demand havent call,Offensive language
310,analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,Offensive language
311,angelenagoley sex posit   u call fuck soul outta bitch ,Offensive language
312,ashlingwild itsnotadam bore suppos cute faggot sometim,Hate speech
313,ayyeecee one man trash anoth man treasur ,Neither hate speech nor offensive language
314,babineaux dont got type bad bitch thing like iongotnotyp,Offensive language
315,bigbootybishopp whitethunduh lassen cc  coach want feel youll get nig doubt,Hate speech
316,bleedingtrap god teeth  gold chainwhit bitch  cocain,Offensive language
317,cheetahbluntz hoe shhhhh,Offensive language
318,chieflottaho dc call roller chiraq call thot across america known hoe,Offensive language
319,im gonna miss bitch bus driverno wont dont lie,Offensive language
320,gone hate bitch tri put friendzon bitch im tryin score put endzon soul,Offensive language
321,complexuk ashley young tri deni bird land mouth gt   hahaha,Neither hate speech nor offensive language
322,datfullerkid trevaughnlg yall gimp aint tht bitch huh lol,Offensive language
323,deepthroatmik boyssouth take ride woof woof,Neither hate speech nor offensive language
324,demieggleton oh god love victoria mitchel bitch love,Offensive language
325,djsliim long distanc shit wack knew bitch cheat uh oh,Offensive language
326,fiirt hes right bitch smh,Offensive language
327,ban dat pussi life amp gotta pay millon dollar fine,Offensive language
328,fuckcamoclark rose red violet blue nigger black know that true ,Offensive language
329,e sit window sill window open bird tri fli smack protecttheanim peta,Neither hate speech nor offensive language
330,glowstruck nigga gon nigga nigga sound fuckin retard,Offensive language
331,greggutfeld video entir media like mock  crybabi,Neither hate speech nor offensive language
332,gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,Offensive language
333,haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvill smh ,Offensive language
334,hazelebabi karma bitch damn godprotectshisangel sip tea,Offensive language
335,hornyjhb fuckin hot gym pussi  fuck yeah,Offensive language
336,hxhassan jihadi patron hajjaj alajmi arrest kuwait airport ,Neither hate speech nor offensive language
337,iampickuplin call fireman caus turn hoe,Offensive language
338,icrawley could never bbi lil dick thts got abort last bitch oh god,Offensive language
339,idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch,Offensive language
340,ilgdaili smoke weed public fuck cop man wanna dont run come retard,Offensive language
341,itrapwatermelon tweeti bird tho ,Neither hate speech nor offensive language
342,irlfatti pussi sweet like watermelon thotermelon,Offensive language
343,itscoleharmon twitter rapper dm trash link ,Neither hate speech nor offensive language
344,jsadass loud bitch annoy,Offensive language
345,jacaxeltlu eventu everi bitch turn hoe  truuu,Offensive language
346,jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow  barackobama pussi,Offensive language
347,jamajam bitch pretend tf crazi aint never lie,Offensive language
348,jasmyncynique whitethunduh k bye hoe um bye ,Offensive language
349,jayswaggkillah jacki retard blondeproblem least make grill chees,Hate speech
350,ima keep give pussi ass nigga ah reason hate ,Offensive language
351,jethromass photo  sole heaven,Neither hate speech nor offensive language
352,jgabsss stacey dash baddest bitch evaaaa,Hate speech
353,juicyyyjayyyi side bitch sunday ,Offensive language
354,fact baldhead bitch made shit lmao ,Offensive language
355,kayreneee fuck wit us tweakin hoe shmurda,Offensive language
356,kazooook actin like th day wesgodlaflar spook,Neither hate speech nor offensive language
357,kikistfu ill break lil bitch neck wont even feel sorri savag,Offensive language
358,leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli,Offensive language
359,likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,Offensive language
360,lildurk turn yo bitch eaterrrrrrrrr,Offensive language
361,lildurk dont trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn,Offensive language
362,marackaf whitethunduh aye yall ima tryout bowl team tryout pass tho there two retard,Offensive language
363,u got u want bitch  enjoy  crazi parti would love attend,Offensive language
364,metroadlib color contact eyesblind minecaus cant see lmao,Neither hate speech nor offensive language
365,michellewestt fact poonsoak dude hoe say dont got ,Offensive language
366,midywidey im rea start smack bitch period  bluffin best,Offensive language
367,molssyo life bitch die that get high caus neva know your gonna go sister perfect ,Offensive language
368,molssyo one us drug your still wrong currieburri hahahahahahah im bitch sometim ,Offensive language
369,morgandayle im feel pretti fuckin ghetto smh,Offensive language
370,tolif dejaaleeann swear im man easili easili behind austin nip,Neither hate speech nor offensive language
371,obeyjrock true ride die bitch fuck hahahahah,Offensive language
372,oldpicsarch hgwell charli chaplin  histori photographi,Neither hate speech nor offensive language
373,ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic,Offensive language
374,ozziegarza whitethunduh im cool faggot chill tf cool nigga,Offensive language
375,ozziegarza whitethunduh im sure bitch frfr tf,Offensive language
376,poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,Offensive language
377,queendulaaa got coupl bitch say know let money talk im like wwyd,Offensive language
378,realfort grudg weirdosand bitch,Offensive language
379,rhythmixx told mariam cigarett birthdayyou also call trash rn,Neither hate speech nor offensive language
380,riananewman edham browni tonight kind,Neither hate speech nor offensive language
381,text back dont give fuck ill text anoth bitch damn someon hurt lol,Offensive language
382,ronaldiongi ummmmmm okay  got hoe left right yah thang,Offensive language
383,royalswagg use ymxb find slope ass,Offensive language
384,rugbysocklad fit lad nice gear  scalli lad n trainer would get,Neither hate speech nor offensive language
385,rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear,Offensive language
386,rugbysocklad help mate  love scalli play fuck yeah,Offensive language
387,rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer,Offensive language
388,savagetwoton next year bitch gonna like gotta promis wont expos ,Offensive language
389,scallynikelad sleazytwink hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker,Offensive language
390,sierrabernia gcincokilbi yall think celebr pussi differ local yeah meghan good,Offensive language
391,sleepyyongguk saw ajumma walk begin say wow trash cant even listen lmaoo,Neither hate speech nor offensive language
392,sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak,Offensive language
393,dont ever expos femal like that childish bitch nigga shiiii,Offensive language
394,socass socass yassstri new thing bestfriendbitch love,Offensive language
395,socass dude rememb wop video omg find,Neither hate speech nor offensive language
396,soxandjox thick raw fuck  damn man pussi get workout,Offensive language
397,soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal  sexi scalli woof woof,Neither hate speech nor offensive language
398,splurgb nothin life free bitch need write ya ,Offensive language
399,stephencdo currieburri one bitch want burrito u catch potosino huh haha,Offensive language
400,talibanshawtyy nigga whole hoe cuz couldnt said ,Offensive language
401,theaveragerock hardcor way eat mac boil water snort chees drink boil water fuck bitch,Offensive language
402,thebravebird yourenotmytyp fade perpetu fresher that real ass bitch rite,Offensive language
403,thejudyann annoy bitch love  judyann pretti,Offensive language
404,thotmouth lmao bitch got huggi,Offensive language
405,trestiff hi bitch bitchby bitch ,Offensive language
406,trutherbot look like bitch elcapacitor,Offensive language
407,whoiscoreyk chase money hoe ,Offensive language
408,whooligan cant stand dont know want ass nigga bitch,Offensive language
409,wiganzlad markycrumb gmailshort im way  love chavhot sexi scalli fucker,Offensive language
410,witmyrudeass newli gay bitch dont kno shit work,Offensive language
411,witmyrudeass bitch dont want real job becom stripper lol lol,Offensive language
412,awww meat meat feelinsi ainn n feel bitch,Offensive language
413,want snake bite  industri piercin amp tattoodem hoe accessori dea ,Offensive language
414,worldtravei babi albino ,Neither hate speech nor offensive language
